id,price
0,424.00 
1,61.00 
2,175.00 
3,169.00 
4,285.00 
5,190.00 
6,100.00 
7,209.00 
8,440.00 
9,169.00 
10,70.00 
11,145.00 
12,75.00 
13,23.00 
14,150.00 
15,90.00 
16,363.00 
17,407.00 
18,429.00 
19,331.00 
20,106.00 
21,38.00 
22,60.00 
23,230.00 
24,65.00 
25,167.00 
26,90.00 
27,80.00 
28,169.00 
29,95.00 
30,60.00 
31,83.00 
32,36.00 
33,94.00 
34,38.00 
35,478.00 
36,70.00 
37,218.00 
38,92.00 
39,709.00 
40,180.00 
41,292.00 
42,119.00 
43,240.00 
44,263.00 
45,254.00 
46,52.00 
47,120.00 
48,45.00 
49,166.00 
50,68.00 
51,119.00 
52,189.00 
53,99.00 
54,138.00 
55,166.00 
56,83.00 
57,156.00 
58,289.00 
59,31.00 
60,457.00 
61,550.00 
62,82.00 
63,150.00 
64,119.00 
65,395.00 
66,140.00 
67,45.00 
68,57.00 
69,199.00 
70,60.00 
71,47.00 
72,187.00 
73,50.00 
74,200.00 
75,229.00 
76,50.00 
77,150.00 
78,199.00 
79,105.00 
80,100.00 
81,210.00 
82,80.00 
83,111.00 
84,61.00 
85,225.00 
86,30.00 
87,111.00 
88,359.00 
89,99.00 
90,205.00 
91,204.00 
92,237.00 
93,180.00 
94,80.00 
95,577.00 
96,225.00 
97,75.00 
98,120.00 
99,288.00 
100,75.00 
101,141.00 
102,59.00 
103,65.00 
104,120.00 
105,167.00 
106,299.00 
107,160.00 
108,649.00 
109,333.00 
110,87.00 
111,210.00 
112,150.00 
113,158.00 
114,130.00 
115,179.00 
116,665.00 
117,15.00 
118,220.00 
119,254.00 
120,60.00 
121,109.00 
122,200.00 
123,115.00 
124,55.00 
125,150.00 
126,197.00 
127,170.00 
128,35.00 
129,44.00 
130,99.00 
131,140.00 
132,322.00 
133,275.00 
134,36.00 
135,109.00 
136,108.00 
137,150.00 
138,999.00 
139,449.00 
140,182.00 
141,65.00 
142,39.00 
143,65.00 
144,228.00 
145,62.00 
146,299.00 
147,315.00 
148,63.00 
149,115.00 
150,69.00 
151,118.00 
152,273.00 
153,500.00 
154,80.00 
155,146.00 
156,100.00 
157,74.00 
158,350.00 
159,150.00 
160,450.00 
161,500.00 
162,250.00 
163,260.00 
164,216.00 
165,100.00 
166,189.00 
167,153.00 
168,79.00 
169,99.00 
170,75.00 
171,44.00 
172,130.00 
173,157.00 
174,95.00 
175,200.00 
176,250.00 
177,260.00 
178,105.00 
179,352.00 
180,97.00 
181,150.00 
182,134.00 
183,121.00 
184,285.00 
185,150.00 
186,78.00 
187,200.00 
188,150.00 
189,125.00 
190,166.00 
191,73.00 
192,50.00 
193,150.00 
194,369.00 
195,176.00 
196,72.00 
197,68.00 
198,67.00 
199,200.00 
200,249.00 
201,71.00 
202,70.00 
203,72.00 
204,87.00 
205,51.00 
206,54.00 
207,199.00 
208,80.00 
209,305.00 
210,224.00 
211,110.00 
212,240.00 
213,189.00 
214,225.00 
215,79.00 
216,300.00 
217,194.00 
218,170.00 
219,175.00 
220,116.00 
221,60.00 
222,45.00 
223,350.00 
224,47.00 
225,300.00 
226,50.00 
227,100.00 
228,414.00 
229,100.00 
230,83.00 
231,550.00 
232,115.00 
233,36.00 
234,310.00 
235,55.00 
236,121.00 
237,9000.00 
238,98.00 
239,493.00 
240,375.00 
241,250.00 
242,28.00 
243,50.00 
244,100.00 
245,169.00 
246,132.00 
247,95.00 
248,2671.00 
249,70.00 
250,200.00 
251,87.00 
252,149.00 
253,41.00 
254,103.00 
255,71.00 
256,180.00 
257,119.00 
258,150.00 
259,50.00 
260,50.00 
261,285.00 
262,71.00 
263,148.00 
264,175.00 
265,44.00 
266,159.00 
267,85.00 
268,150.00 
269,86.00 
270,191.00 
271,95.00 
272,150.00 
273,111.00 
274,141.00 
275,357.00 
276,26.00 
277,1799.00 
278,250.00 
279,40.00 
280,123.00 
281,99.00 
282,156.00 
283,40.00 
284,158.00 
285,114.00 
286,150.00 
287,240.00 
288,970.00 
289,90.00 
290,275.00 
291,579.00 
292,180.00 
293,772.00 
294,1500.00 
295,158.00 
296,200.00 
297,115.00 
298,163.00 
299,130.00 
300,70.00 
301,150.00 
302,162.00 
303,225.00 
304,159.00 
305,170.00 
306,246.00 
307,95.00 
308,159.00 
309,40.00 
310,160.00 
311,200.00 
312,175.00 
313,58.00 
314,120.00 
315,274.00 
316,80.00 
317,232.00 
318,176.00 
319,65.00 
320,66.00 
321,100.00 
322,485.00 
323,249.00 
324,95.00 
325,242.00 
326,150.00 
327,34.00 
328,55.00 
329,180.00 
330,800.00 
331,206.00 
332,80.00 
333,364.00 
334,120.00 
335,50.00 
336,163.00 
337,45.00 
338,93.00 
339,79.00 
340,182.00 
341,115.00 
342,159.00 
343,65.00 
344,210.00 
345,165.00 
346,125.00 
347,50.00 
348,37.00 
349,420.00 
350,30.00 
351,90.00 
352,40.00 
353,145.00 
354,150.00 
355,270.00 
356,2700.00 
357,140.00 
358,52.00 
359,150.00 
360,59.00 
361,800.00 
362,95.00 
363,21.00 
364,180.00 
365,85.00 
366,309.00 
367,200.00 
368,325.00 
369,360.00 
370,8.00 
371,503.00 
372,1100.00 
373,59.00 
374,100.00 
375,45.00 
376,180.00 
377,105.00 
378,206.00 
379,99.00 
380,51.00 
381,155.00 
382,353.00 
383,43.00 
384,85.00 
385,65.00 
386,495.00 
387,110.00 
388,210.00 
389,293.00 
390,157.00 
391,59.00 
392,75.00 
393,223.00 
394,477.00 
395,750.00 
396,50.00 
397,165.00 
398,175.00 
399,382.00 
400,71.00 
401,188.00 
402,250.00 
403,265.00 
404,90.00 
405,125.00 
406,113.00 
407,149.00 
408,169.00 
409,324.00 
410,80.00 
411,299.00 
412,165.00 
413,110.00 
414,135.00 
415,50.00 
416,149.00 
417,214.00 
418,189.00 
419,170.00 
420,29.00 
421,120.00 
422,72.00 
423,250.00 
424,200.00 
425,420.00 
426,299.00 
427,55.00 
428,113.00 
429,49.00 
430,200.00 
431,195.00 
432,187.00 
433,239.00 
434,60.00 
435,483.00 
436,110.00 
437,84.00 
438,40.00 
439,132.00 
440,195.00 
441,160.00 
442,195.00 
443,57.00 
444,86.00 
445,151.00 
446,151.00 
447,96.00 
448,70.00 
449,100.00 
450,304.00 
451,225.00 
452,40.00 
